Observation Start Date	Observation Start Hour	Observation End Date	Observation End Hour	Approximate Lat	Approximate Lon	Observing Ship/Sensor	Observor(s)	Description	Reported In	Approx Location	Phenomena	Confidence	Area KM2	Event Number
11/19/1855	(?)	11/19/1855	(?)	8 deg 00' S	80 deg 00' E	Java's Welvaren	K. C. de Veer	De zee ziet zoo wit als melk.	Tim Wyatt, Unpublished Notes/Paper	Indonesia	Milky Sea	0	N/A	10
09/11/1856	21:00 LOC	09/11/1856	(?)	12 deg 00' S	108 deg 00' E	Jan Schouten	J. Coening Meijer	Zagen des avonds ten 9 uur eene plek, eveneens verlicht als of er eene bank was, waarop het zwaar brandde; zeilden er gedurende 5 min. door heen. Eene puts vol opgehaald water bleef schitteren.	Tim Wyatt, Unpublished Notes/Paper	Java	Milky Sea	0	N/A	11
07/22/1857	19:00 LOC	07/22/1857	23:00 LOC	14 deg 00' S	105 deg 00' E	Eersteling	A. P. Armstrong, Captain	Ten 7 uur's avonds kreeg het zeewater eene melkachtige kleur, dat in meerdere en mindere mate aanhield tot 11 uur; somtijds was het zoo erg, dat er geen onderscheid tusschen lucht en water te zien was.	Tim Wyatt, Unpublished Notes/Paper	Christmas Island	Milky Sea	0	N/A	12
09/16/1857	21:00 LOC	09/16/1857	(?)	13 deg 00' S	105 deg 00' E	Zeelandia	W. Blaakhert	Heden avond ten 9 uur was het water zoo wit als sneeuw.	Tim Wyatt, Unpublished Notes/Paper	Christmas Island	Milky Sea	0	N/A	13
09/21/1857	(?)	09/21/1857	(?)	14 deg 00' S	104 deg 00' E	Antoinette Seraphine	A. Viëtor	Nadat het donker geworden was, nam het zeewater eene witte malkachtige kleur aan, zooals ik het vroeger in den Z. Atl. Oceaan had waargenomen, in de nabijheid van de Kaap de Goede Hoop. -- Toen dacht ik over eene bank gezeild te zijn, nu was het een lage nvel, die op het water scheen te liggen.	Tim Wyatt, Unpublished Notes/Paper	Christmas Island	Milky Sea	0	N/A	13
11/17/1857	(?)	11/17/1857	(?)	14 deg 00' S	13 deg 00' E	Jacqueline en Elise	B. Sikkens	Dikke lucht, fijne regen, plotseling werd de zee, zoo ver het oog reikte, zoo wit als melk; het vuurde niet maar 't was bijna effen wit.	Tim Wyatt, Unpublished Notes/Paper	Angola	Milky Sea	0	N/A	14
11/19/1857	20:00 LOC	11/19/1857	(?)	17 deg 00' S	105 deg 00' E	Jan Schouten	J. Coening Meijer	Ten 8 uur hadden wij een vreemd en onaangenaam schouwspel -- ne eene bui werd het water eensklaps wit en deelde zulks meê aan de lucht; het was niet donker en toch kon men geen onderscheid tusschen lucht en water zien, beide hadden een dof en wit aanzien; de zee werd slechter.	Tim Wyatt, Unpublished Notes/Paper	Christmas Island	Milky Sea	0	N/A	15
11/19/1859	(?)	11/19/1859	(?)	15 deg 55' N	94 deg 51' W	Sonora	Baby, Captain	[...] A very curious phenomena was observable as the ship entered the Gulf [of Tehuantepec] about twilight, and it continued for some 15 miles. The sea was the color of milk, as far as the eye could reach. The paddles, or the rudder even, did not discolor it, nor turn up a single point of the luminous phosphorescence with which the ship's path had been marked for several preceding nights. Captain Baby mentioned that patches and streaks of this "milky sea" he had occasionally seen, but never anything of the sort on so large a scale before. On drawing up a bucket-full of water, it presented no unusual appearance; under a powerful glass, however, it was found to be all alive with animalculae. The cause of the phenomenon was presumed, or rather, guessed, to be a great abundance of whale feed, which convenient theory is not necessarily a very definite or exclusive one.	San Francisco Bulletin, Nov. 29, 1859	Gulf of Tehuantepec	Milky Sea	0	N/A	16
08/26/1860	(?)	08/27/1860	(?)	3 deg 51' S	127 deg 54' E	Capriceuse	M. Trebuchet, Captain	Curious Marine Phenomenon. Captain Trébuchet states that on the night of August 26th, 1860, while tacking to reach Amboyna, lying at about twenty miles E.N.E., he and his crew witnessed the curious spectacle of the Milky Sea, which the Dutch call the Winter Sea, because both the sky and the waters present the apearance of fields covered with snow. The phenomenon lasted from seven p.m. until the return of daylight. They at first attributed it to the reflection of the moon, then only three days old; but, as the appearance continued after the moon had set, this explanation had to be discarded. A bucketful of sea water being drawn up and being and examined, it was found to contain about 200 groups of animalculae of the same thickness (that of a hair) but of different lengths, varying between one and two-tenths of a millimétre, and adhering to each other by tens and twenties, like strings of beads. These insects emitted a fixed liuht similar to that of the firefly or glow-worm; and it was admitted on all hands that the white appearance of the sea could only be attributed to these minute creatures, the numbers of which must therefore exceed all imagination.	The British Medical Journal, Vol. 1, No. 4 (Jan. 26, 1861), pp. 86.          &.            Scientific American, Vol. 4, No. 7 (February 16, 1861), p. 112	Banda Sea	Milky Sea	0	N/A	17
10/27/1860	03:00 LOC	10/27/1860	05:30 LOC	10 deg 00' S	100 deg 00' E	t Goede Vertrouwen	D. J. Kraan	Heden nacht ten 3 uur werden wij een zonderling verschijnsel in de zee gewaar; zij werd geheel wit, bijna de kleur van melk, zonder dat men iets glinsterends van insecten, zooals gewoonlijk kon bemerken; de lucht was bedekt en donker, zoodat zulks eene zonderlinge vertooning maakte. Ten half vijf verdween het witte water.	Tim Wyatt, Unpublished Notes/Paper	Java	Milky Sea	0	N/A	18
10/27/1860	18:30 LOC	10/27/1860	21:00 LOC	12 deg 00' S	106 deg 00' E	Euterpe	A. Kuiper	Bemerkten heden avond omstreeks 6 uur 30 min., dat het water bijna geheel wit werd; 't was op eenen aanmerkelijken afstand zichtbaar. Bevonden de tempr. van het zeewater 25 deg evenals vroeger; zeilden in hetzelve tot omstreeks 9 uur.	Tim Wyatt, Unpublished Notes/Paper	Java	Milky Sea	0	N/A	19
08/22/1861	(?)	08/22/1861	(?)	12 deg 00' S	105 deg 00' E	President Plate	J. C. Harten	Heden avond werd het water geheel en al wit; bij het opkomen dar maan was het minder zichtbaar.	Tim Wyatt, Unpublished Notes/Paper	Java	Milky Sea	0	N/A	20
08/25/1861	19:00 LOC	08/25/1861	(?)	12 deg 00' S	105 deg 00' E	Maria Veronica	J. S. Schol	Heden avond omstreeks 7 uur ontdekten wij dat het water zoo wit werd als melk.	Tim Wyatt, Unpublished Notes/Paper	Java	Milky Sea	0	N/A	20
09/02/1861	(?)	09/03/1861	(?)	12 deg 00' S	105 deg 00' E	Azia	F. Molenaar	Heden avond op de 1e wacht hadden wij het zonderlinge verschijnsel, dat het water zoo wit werd als melk -- ten 12 uur 's nachts was het iets donkerder, doch op de D. W. was het tot den dag weer witter, het vuurde niet.	Tim Wyatt, Unpublished Notes/Paper	Java	Milky Sea	0	N/A	20
01/30/1864	20:00 LOC	01/30/1864	(?)	2 deg 43' N	51 deg 00' E	CSS Alabama	Raphael Semmes, Captain	At about eight P.M., there being no moon, but the sky being clear, and the stars shining brightly, we suddenly passed from the deep blue water in which we had been sailing, into a patch of water so white that it startled me; so much did it appear like a shoal. (...) The patch was extensive. We were several hours running through it. Around the horizon there was a subdued glare, or flush, as though there were a distant illumination going on, whilst overhead there was a lurid, dark sky, in which the stars paled. The whole face of nature seemed changed, and with but little stretch of the imagination, the Alabama might have been conceived to be a phantom ship, lighted up by the sickly and unearthly glare of a phantom sea, and gliding on under the pale stars one knew not whither.	Miller et al. 2021; Memoirs of Service Afloat, During the War Between the States, p. 732	Somalia	Milky Sea	0	N/A	21
08/03/1864	(?)	08/03/1864	(?)	12 deg 00' S	105 deg 00' E	Isis	C. L. Torley	De zee was dezen nacht zoo wit als melk; deze verandering schijnt altijd met mist gepaard te gaan.	Tim Wyatt, Unpublished Notes/Paper	Java	Milky Sea	0	N/A	22
08/10/1864	19:30 LOC	08/10/1864	(?)	12 deg 00' S	105 deg 00' E	Willem Daniel	Titus de Meester	Heden avonde ten half zeven nam het water eensklaps een melkwitte kleur aan en zeilden wij met eene 9 mijls vaart, als het ware door eene zee van melk. De lucht is sterrenklaar en de temperatuur der oppervlakte onveranderd.	Tim Wyatt, Unpublished Notes/Paper	Java	Milky Sea	0	N/A	22
08/28/1864	(?)	08/28/1864	(?)	11 deg 00' S	105 deg 00' E	Zephir	P. Wemmerus	Zagen het zonderlinge verschijnsel, dat de zee zoo wit werd als melk, de lucht is heiig in dekimmen, in top helder.	Tim Wyatt, Unpublished Notes/Paper	Java	Milky Sea	0	N/A	22
04/19/1866	(?)	04/19/1866	(?)	35 deg 30' S	19 deg 00' W	Maria Anna	J. D. van Monnom	Zeilden 's nachts op de H. W. gedurende 1/4 uur door wit gekleurd zeewater. De zee was zoo glad als een spiegel en geheel wit van schuim; men hoorde niets van de zee noch van de vaart van het schip.	Tim Wyatt, Unpublished Notes/Paper	South Atlantic	Milky Sea	0	N/A	23
08/04/1866	(?)	08/04/1866	(?)	4 deg 30' S	124 deg 00' E	ZM Metalen Kruis	E. M. C. Baak, Captain	Bevonden gedurende twee nachten, dat de kleur der zee geheel wit was; naarmate de maan hooger kwam, werd de lucht  helder blauw en hield het verschijnsel der zee op. Temperatuur en dichtheid van het water bleef onveranderd.	Tim Wyatt, Unpublished Notes/Paper	Banda Sea	Milky Sea	0	N/A	24
08/03/1869	19:00 LOC	08/04/1869	02:00 LOC	12 deg 56' S	115 deg 24' E	Graaf van Hoogendorp	E. W. Fabritius	Zeilden van's avonds 7 tot des nachts 2 uur door helder en flauw wit gekleurd water, waarin groote stukken phosphoor dreven. In het hevigst van 't verschijnsel was de zee bijzonder effen, men hoorde niets, 't was of men door olie zeilde; temperatuur en gewicht van het water hadden geen verschil met de voorgaanda waarneming.	Tim Wyatt, Unpublished Notes/Paper	Java	Milky Sea	0	N/A	25
